objid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
img2_isl1827,1.2307142,3.7881775,-5.077401,-0.5679898,-3.7844992,-1.2040521,-6.8346596,-0.82198226,-1.663548,1.1754348,-0.08504273,-2.542162,0.11874056,-0.48099115,-0.010394551,0.24377565,0.9238892,-1.1506904,-0.18770586,-0.058143258,0.23532736,-1.5997989,-1.2150977,0.3945521,-0.35577637,-0.19278044,1.8043764,1.2961828,-1.8785965,0.8004392,-0.8025409,-0.3965964,-0.307715,-0.019587388,0.077347904,0.06976107,0.17878255,-0.54839027,-0.7938742,0.08262596,0.8247902,-0.4218117,-0.51641124,-0.17128456,-0.58161616,-0.5000086,-0.023286253,0.074716896,0.22555633,-0.10687883,0.30741328,-0.13360888,-0.6641041,-0.1314004,-0.11802071,-0.2572291
img2_isl1856,-3.2388425,4.6112137,-1.8919257,-1.2353351,0.39468187,-3.5849414,-4.8794956,4.070221,2.6484733,5.5232515,-0.8256099,3.4240127,0.25280082,0.39671367,-1.0195158,-0.7221911,-2.5782604,-0.5462091,0.7306062,-0.67404795,0.43659168,1.108843,0.43683445,-0.68438613,0.7834514,-0.15236038,0.42626077,-0.7413326,-0.39210913,-1.7817357,1.0607617,-0.54278576,1.4522395,0.8827105,1.2001954,0.46455374,-1.028534,0.32248372,-0.25945893,0.1284076,0.78488195,-0.24455005,-0.5468358,-0.12821274,0.7982599,-0.20928258,0.030350238,0.24578467,0.11319155,0.67631096,0.7310389,-0.14978111,0.23866695,0.52483046,-0.64758,0.047096044
img2_isl1943,-3.1539638,11.090318,-1.8565407,-4.0126204,0.7002242,1.7877187,1.3804502,-2.4518697,-2.0113611,7.466756,0.40371278,0.369578,3.6962423,0.52173275,-0.043150157,-1.0060623,-2.2633357,-1.0883931,-0.30828357,-1.6659286,-0.59656936,0.6318813,-2.3656948,0.49823958,0.6046579,-0.6746973,-0.7104916,0.6534135,-0.55444896,1.7184374,-0.45984358,0.4157592,0.90205175,-0.025615476,0.014078468,0.55052096,0.6751574,0.2726361,0.9819251,-0.74079955,1.1742829,-0.51900446,0.02616733,-0.22196537,0.16719961,-0.09224039,-0.046626538,0.97739184,-0.4314921,0.6421786,-0.8125564,0.3815957,0.19345725,-0.6347345,1.5130469,0.30801564
img2_isl1965,-6.883616,10.019172,-3.6600194,5.5331116,-4.177956,-1.5401568,1.0066335,0.19864643,0.19715571,0.71528584,-1.8648871,-3.4757657,0.7376436,1.7261523,0.22280976,-0.6204927,1.1393436,0.8826573,0.30348736,-0.070503,0.324124,0.2656948,0.86048156,-1.3625267,0.80829364,-0.39501208,0.12861186,-0.03545622,1.0424402,-0.9516297,-0.055022687,1.0630587,0.031049907,0.6687099,-0.1603938,-0.1578328,-0.18915842,0.22590712,1.2177763,0.20027116,0.8567444,0.0030212998,0.26854235,-0.72187966,0.048186094,-0.08884722,0.281699,0.28257394,-0.5860516,-0.43815678,0.4130669,0.30098608,-0.7325319,0.54605436,-0.4124692,-0.42589527
img2_isl2012,-5.1516023,0.956277,-2.3060155,2.0221393,2.169662,2.638916,2.8518918,1.6257036,0.2570827,-1.4842951,-1.8500689,0.6428257,0.26574075,0.31684846,-0.4211227,-0.1193904,0.22503665,0.44203854,1.4245274,-0.4896011,-0.44648045,-0.4534833,-0.9934363,-0.29805812,-0.39602858,0.64155734,-0.64038736,-0.1368422,0.15285543,-0.3000399,0.67445743,-0.49201158,-0.49337757,0.20542721,0.11018181,-0.31632748,-0.005942777,-0.08138495,-0.47146612,-1.0104549,0.12921584,0.021415144,0.4090774,0.04041952,0.079655826,0.049071744,0.040769726,0.10481073,0.46192905,-0.38456082,-0.06565337,-0.10965221,-0.09529519,-0.34210342,0.23258814,-0.4686461
img2_isl2640,2.1840396,-1.4165876,-0.7550604,-4.320591,2.1656086,-0.1192143,-0.76056504,0.1672371,1.2333118,-1.62655,-2.0548232,-0.38527393,0.70378274,0.5740488,-0.2167278,0.31041235,0.9356848,-1.4440212,0.7293407,-0.22897273,0.010026298,0.9166446,1.0334338,1.0731219,0.06263387,-0.15443826,1.0058084,0.6611998,0.47896257,0.12759921,-0.5256623,0.38891023,0.88962406,0.19050387,0.2636773,-0.30296394,-0.24144231,-0.36007813,0.58604205,0.047058083,-0.4247494,0.2755829,-0.25806653,-0.5800041,-0.25035325,0.40118265,-0.40858755,-0.894755,0.15909262,-0.093464434,0.08458157,0.028180301,-0.4085666,-0.40488523,0.1438559,-0.45957965
img2_isl2908,18.793102,2.6923728,8.038085,3.7909615,-1.3845224,2.57967,2.048614,4.062333,-0.4613076,0.54005903,0.6569748,-1.2816467,-0.85121995,0.9721406,-1.6040299,-1.454039,-1.2076263,0.020528622,-0.054268613,0.39926666,0.009563632,-0.5293535,0.29166287,0.07401106,0.0058356524,-1.1692257,0.097009,1.0801963,-0.96547186,0.47444972,0.24859753,-0.3008976,0.16609347,0.049760558,-0.42489037,-0.15345827,-0.37973264,-0.12268389,0.14815879,-0.34482062,-0.21104142,-0.085592866,-0.14889854,0.18621859,0.47640568,0.14360332,0.066764265,-0.15129247,-0.07200292,0.16382706,-0.14993657,-0.2698742,-0.20847331,0.037428543,-0.11826086,-0.25992453
img2_isl3012,-3.8702626,-6.0695186,1.540913,-1.8735813,0.6299605,1.9406134,0.54092467,0.3983022,-0.22723353,0.636828,-0.4428584,-1.7878327,-0.20422262,0.58203834,-0.42076954,0.3599317,1.3809433,1.4847908,0.71712077,-0.0964534,0.33128396,-0.15502238,-0.5991577,0.24686268,0.62817943,0.011228263,-0.45380855,-0.2709571,-0.059728667,0.08048931,-0.16139579,-1.0323364,-0.50819266,-0.05188953,0.16488865,-0.2918779,0.016816348,-0.07723399,-0.75814044,-0.3066362,0.26268888,-0.0050078332,0.28896868,0.51118404,0.038863897,-0.16387236,0.1495561,0.15045355,0.028431736,0.10148531,-0.35531846,0.07437149,0.40311408,-0.032849014,0.45485005,-0.24012576
img2_isl3225,11.126686,-0.49034035,-1.5868043,0.56641364,1.1751292,-1.9259319,-1.9344742,-1.4680624,0.8320571,-0.064567566,-1.7950402,0.9138061,1.4290292,-1.0540143,0.47074968,-0.4272539,1.2156487,-0.046110354,1.3803018,0.068493485,-1.452506,0.2574102,-0.11469217,1.0648363,-0.5806517,0.45272946,-1.0417879,-0.35929388,0.053100668,-0.35635895,-0.5332619,0.03181228,-0.1872992,-0.17263062,-0.20007637,-0.14089963,0.6760212,0.49643376,-0.2819637,0.5877505,0.32247123,-0.35032395,-0.02986782,-0.040531892,0.01591736,0.11084078,0.55693793,-0.07954884,0.07450624,0.14973632,0.094237104,0.24354419,0.39390606,0.30084595,-0.12767473,0.008336581
img2_isl3261,-7.9997563,3.1341038,-0.5589917,8.473019,-1.1561897,2.2173784,-0.21325135,2.333644,-2.8674488,-1.8781166,-1.0183251,-2.8542705,-0.30506998,-0.9155084,3.8021638,4.0266743,1.2125218,-0.66774863,-0.1486501,-1.3795679,-1.1849539,1.8267115,1.1121219,2.376175,0.88016206,0.5144105,-0.38391906,1.5679214,0.2747517,0.45851606,1.0123348,-1.3965514,0.4285527,0.52110183,-0.0028422773,-0.26593256,0.8671516,-0.3172778,-0.1917889,0.042062096,-0.07719301,-0.67212015,-0.26801032,1.581152,0.5891623,-0.6644513,-0.10838255,0.021828033,-1.3498082,1.0658789,0.4761775,0.43913808,-0.38068917,1.1700377,-0.612664,0.19882204
